OTU;SampleID;SampleSite;SampleType;Date;Taxa2;Taxa3;Taxa5;Taxa6;Taxa7;Taxa8;Taxa9;Taxa10;Taxa11;Taxa12;Taxa14;Taxa15;Taxa16;Taxa17;Taxa18;Taxa19;Taxa20;Taxa21;Taxa22;Taxa23;Taxa24;Taxa25;Taxa26;Taxa27;Taxa28;Taxa29;Taxa30;Taxa31;Taxa32;Taxa33;Taxa34;Taxa35;Taxa36;Taxa37;Taxa38;Taxa39;Taxa40;Taxa41;Taxa43;Taxa44;Taxa45
AF76;B2_5VX12;B;5v_12;Day2;19910;0;0;0;0;0;0;0;0;0;0;0;11460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF77;J3_12VX5;J;12v_5;Day3;31307;0;0;0;0;4567;0;0;0;5307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3222;0;0;0;0;0;0;0;0;0;0;0;0;0
AF78;B1_12VX5;B;12v_5;Day1;36996;0;0;0;0;0;0;2737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4435;0;0;0;0;0
AF79;B3_5V;B;5v;Day3;12443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF8;J2_12VX5;J;12v_5;Day2;1906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF80;F1_12V;F;12v;Day1;9980;0;0;0;0;0;0;0;5107;0;0;0;0;0;7726;0;0;0;0;0;0;0;0;0;7634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF81;A3_12VX5;A;12v_5;Day3;14677;0;0;0;0;0;0;5980;0;9760;0;0;0;0;0;5118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF82;D3_12VX5;D;12v_5;Day3;4700;3463;21274;0;0;0;0;0;12795;0;0;3665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF83;E3_12VP;E;12vP;Day3;0;0;493304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF85;G2_12VX5;G;12v_5;Day2;10434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF86;I1_12V;I;12v;Day1;9411;6394;0;0;0;0;0;0;0;0;0;4423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3412;0;0;0;0;0;0
AF87;A2_5VX12;A;5v_12;Day2;21242;0;0;0;0;0;0;0;0;0;0;0;1816;0;0;0;0;0;0;2669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF88;A3_12VP;A;12vP;Day3;111173;22528;0;171703;85586;0;20261;11011;37263;26118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220;0;0;0;0;0;0;0;0;0;0;0;1065;1048;396
AF89;F2_5V;F;5v;Day2;2450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF90;D3_12V;D;12v;Day3;13463;19037;0;9720;0;0;0;10477;0;0;0;2194;1286;0;0;0;0;3021;0;0;0;0;0;0;0;0;0;0;0;0;0;7550;0;0;0;0;0;0;0;0;0
AF91;E1_12V;E;12v;Day1;12854;0;0;0;0;9142;3881;0;2226;0;0;1074;0;0;0;0;8934;0;5891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF92;B3_5VX12;B;5v_12;Day3;18487;10839;0;3542;0;6836;10500;5779;0;1580;0;0;0;0;0;0;2354;4439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF93;F1_5V;F;5v;Day1;6793;0;0;0;0;12554;0;0;0;0;0;0;0;5195;0;0;0;2829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF94;J2_5V;J;5v;Day2;7107;0;5228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF95;B3_12VX5;B;12v_5;Day3;4859;7609;0;4989;0;7373;2350;10439;0;2535;1195;0;0;0;4533;0;2601;0;0;4561;0;0;0;0;0;3042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF96;G3_5VX12;G;5v_12;Day3;9457;11051;0;0;0;2159;0;0;0;0;0;0;0;0;0;0;1677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AF97;E3_12VX5;E;12v_5;Day3;15244;9354;0;4449;0;0;0;4458;0;0;0;1968;0;0;10132;1518;0;3336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
